backend,workload,targetRps,bucket,count,p50Ms,p95Ms,p99Ms,meanBytes,throughputMBps
sql,mix,10.0,<0.75MB,5,16.37,72.7,83.33,515342,0.04
sql,mix,10.0,0.75-1.25MB,11,22.16,108.01,142.94,986399,0.17
sql,mix,10.0,1.25-2MB,8,37.76,306.55,342.59,1574499,0.2
sql,mix,10.0,2-4MB,10,47.72,398.15,416.04,2325706,0.37
sql,mix,25.0,<0.75MB,15,16.02,65.43,107.03,516222,0.12
sql,mix,25.0,0.75-1.25MB,22,22.18,120.11,201.33,986977,0.34
sql,mix,25.0,1.25-2MB,16,31.78,238.75,239.83,1574685,0.4
sql,mix,25.0,2-4MB,23,38.13,54.23,55.04,2392716,0.87
sql,mix,25.0,>4MB,3,87.59,441.39,472.84,5090045,0.24
sql,mix,50.0,<0.75MB,32,16.46,112.76,227.14,515703,0.26
sql,mix,50.0,0.75-1.25MB,48,23.97,158.76,572.89,986715,0.75
sql,mix,50.0,1.25-2MB,32,31.68,256.24,785.05,1574883,0.8
sql,mix,50.0,2-4MB,42,48.57,71.55,499.62,2472461,1.65
sql,mix,50.0,>4MB,5,92.19,118.49,118.54,5092098,0.4
sql,mix,100.0,<0.75MB,52,14.47,69.75,122.04,515525,0.43
sql,mix,100.0,0.75-1.25MB,101,22.78,93.03,920.54,987135,1.58
sql,mix,100.0,1.25-2MB,59,31.65,156.18,753.77,1574100,1.48
sql,mix,100.0,2-4MB,74,48.3,238.33,647.02,2461682,2.89
sql,mix,100.0,>4MB,8,92.58,201.12,232.49,5090534,0.65
sql,mix,200.0,<0.75MB,98,16.5,50.36,63.11,515515,0.8
sql,mix,200.0,0.75-1.25MB,206,23.69,72.25,102.66,987016,3.23
sql,mix,200.0,1.25-2MB,111,33.67,91.07,101.44,1573991,2.77
sql,mix,200.0,2-4MB,137,53.34,123.66,210.24,2474356,5.38
sql,mix,200.0,>4MB,10,95.84,137.42,141.11,5091546,0.81
sql,full,10.0,<0.75MB,136,16.22,49.54,66.42,515455,1.11
sql,full,10.0,0.75-1.25MB,213,22.67,93.41,112.35,986375,3.34
sql,full,10.0,1.25-2MB,104,31.4,111.63,135.42,1573761,2.6
sql,full,10.0,2-4MB,123,41.73,140.55,180.47,2434811,4.76
sql,full,10.0,>4MB,24,84.15,109.78,114.03,5088129,1.94
sql,full,25.0,<0.75MB,319,16.61,27.35,66.23,515381,2.61
sql,full,25.0,0.75-1.25MB,511,23.13,42.36,93.23,986858,8.01
sql,full,25.0,1.25-2MB,321,31.38,64.26,132.06,1573736,8.02
sql,full,25.0,2-4MB,294,40.6,76.59,103.96,2426349,11.32
sql,full,25.0,>4MB,55,87.92,127.41,184.15,5088919,4.44
sql,full,50.0,<0.75MB,632,23.28,63.87,91.27,515041,5.17
sql,full,50.0,0.75-1.25MB,1051,30.5,78.73,111.56,986905,16.48
sql,full,50.0,1.25-2MB,651,41.46,100.13,137.23,1573700,16.27
sql,full,50.0,2-4MB,578,62.32,127.92,153.71,2432210,22.33
sql,full,50.0,>4MB,88,127.85,203.21,223.14,5089389,7.11
