backend,workload,targetRps,achievedRps,errorRatePct,p50Ms,p95Ms,p99Ms,maxMs,throughputMBps,meanResponseBytes,p95ResponseBytes,queueP95Ms,srvDbMs,srvReconstructMs,srvSerializeMs,srvRuPerRequest,throttled429,appCpuPct,appRssMb,sqlMaxCpuPct,sqlMaxIoPct,file
sql,mix,10.0,10.0,0.0,9.42,48.79,152.39,478.54,2.28,238758,1154768,1.31,3.97,2.21,0.15,,0,0.0,98.1,12.41,24.18,sql\run-001-mix-10rps.json
sql,mix,25.0,24.99,0.0,9.03,41.58,117.96,480.7,5.84,244866,998625,1.29,0.0,0.0,0.0,,0,1.2,51.9,11.92,10.65,sql\run-002-mix-25rps.json
sql,mix,50.0,49.98,0.0,9.03,38.73,113.48,1014.65,11.68,244977,994075,2.06,4.45,2.26,0.17,,0,0.0,92.2,7.61,13.22,sql\run-003-mix-50rps.json
sql,mix,100.0,99.95,0.0,8.16,28.55,99.77,1206.01,22.72,238399,993744,1.63,3.65,2.22,0.16,,0,0.0,120.9,14.23,27.52,sql\run-004-mix-100rps.json
sql,mix,200.0,199.84,0.0,8.37,30.11,59.26,286.5,44.66,234316,993154,1.12,3.76,2.16,0.17,,0,0.0,105.7,24.57,27.52,sql\run-005-mix-200rps.json
sql,summary,50.0,49.98,0.0,8.22,9.84,11.37,17.76,0.04,753,763,2.09,2.58,2.01,0.01,,0,0.0,105.1,24.57,27.52,sql\run-006-summary-50rps.json
sql,title,50.0,49.98,0.0,10.87,19.16,27.23,51.21,20.44,428796,996093,1.97,3.5,1.93,0.19,,0,0.0,120.1,24.57,27.52,sql\run-007-title-50rps.json
sql,cdf,50.0,49.98,0.0,11.26,26.95,42.2,66.3,21.73,455884,1154933,1.79,3.59,1.68,0.21,,0,1.2,120.1,24.57,27.52,sql\run-008-cdf-50rps.json
sql,search,50.0,49.98,0.0,6.88,8.66,9.94,23.79,0.42,8878,15591,1.94,1.8,0.0,0.03,,0,1.2,105.1,24.57,27.52,sql\run-009-search-50rps.json
sql,full,10.0,10.0,0.0,29.23,105.91,140.69,187.9,13.75,1442446,3204953,1.76,10.43,6.47,1.07,,0,0.0,128.4,24.57,8.69,sql\run-010-full-10rps.json
sql,full,25.0,24.97,0.0,26.26,83.89,114.4,216.18,34.4,1444732,3204933,1.92,3.22,2.02,0.17,,0,0.0,125.8,14.18,8.69,sql\run-011-full-25rps.json
sql,full,50.0,49.97,0.0,37.46,110.73,169.29,413.1,67.36,1413635,3203171,1.69,0.0,0.0,0.0,,0,1.2,124.0,28.15,8.69,sql\run-012-full-50rps.json
