backend,shape,targetWritesPerSec,achievedWritesPerSec,attempts,failed,p50Ms,p95Ms,p99Ms,maxMs,ruMean,ruP95,ruTotal,ruPerSecond,rowsOrItems,throttled429,retries,file
sql,header,1.0,1.03,31,0,6.65,16.57,47.15,58.89,,,,,1.0,0,0,sql\writes-20260914T033712.json
sql,header,5.0,5.03,151,0,6.43,8.05,9.0,9.69,,,,,1.0,0,0,sql\writes-20260914T033712.json
sql,header,10.0,10.03,301,0,6.4,8.75,10.58,11.65,,,,,1.0,0,0,sql\writes-20260914T033712.json
sql,title,1.0,1.03,31,31,,,,,,,,,,0,0,sql\writes-20260914T033712.json
sql,title,5.0,5.02,151,151,,,,,,,,,,0,0,sql\writes-20260914T033712.json
sql,title,10.0,10.03,301,301,,,,,,,,,,0,0,sql\writes-20260914T033712.json
sql,cdf,1.0,1.03,31,31,,,,,,,,,,0,0,sql\writes-20260914T033712.json
sql,cdf,5.0,5.03,151,151,,,,,,,,,,0,0,sql\writes-20260914T033712.json
sql,cdf,10.0,10.02,301,301,,,,,,,,,,0,0,sql\writes-20260914T033712.json
sql,version,1.0,1.02,31,0,497.59,994.98,1595.37,1816.65,,,,,31.0,0,0,sql\writes-20260914T033712.json
sql,version,5.0,2.01,61,1,488.66,1032.78,1211.87,1260.82,,,,,31.0,0,0,sql\writes-20260914T033712.json
sql,version,10.0,2.1,63,2,494.72,736.13,1088.13,1273.58,,,,,31.0,0,0,sql\writes-20260914T033712.json
sql,header,1.0,1.03,31,0,6.82,11.06,11.38,11.49,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,header,5.0,5.03,151,0,6.12,8.06,10.33,12.03,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,header,10.0,10.03,301,0,6.1,9.87,13.83,25.06,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,title,1.0,1.03,31,0,43.29,122.51,188.52,216.04,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,title,5.0,5.03,151,0,39.62,71.74,87.24,97.45,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,title,10.0,10.02,301,0,33.95,61.45,80.24,87.24,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,cdf,1.0,1.03,31,0,31.69,41.51,54.73,59.5,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,cdf,5.0,5.03,151,0,32.17,41.86,46.91,49.32,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,cdf,10.0,10.02,301,0,31.12,43.0,46.07,52.88,,,,,1.0,0,0,sql\writes-20260914T052741.json
sql,version,1.0,1.02,31,1,165.07,692.97,985.58,1047.58,,,,,31.0,0,0,sql\writes-20260914T052741.json
sql,version,5.0,2.15,65,1,492.23,708.64,1239.81,2017.12,,,,,31.0,0,0,sql\writes-20260914T052741.json
sql,version,10.0,2.15,65,2,496.21,751.3,869.03,938.12,,,,,31.0,0,0,sql\writes-20260914T052741.json
cosmos,header,1.0,1.03,31,0,47.38,53.34,54.59,54.81,20.406,20.68,632.58,21.05,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,header,5.0,5.02,151,0,47.35,51.29,56.69,67.03,20.004,20.68,3020.59,100.51,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,header,10.0,10.02,301,0,47.06,50.4,53.53,123.94,19.97,20.68,6010.82,200.03,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,title,1.0,1.03,31,0,67.18,69.89,75.11,77.31,78.2,132.48,2424.21,80.62,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,title,5.0,5.02,151,0,66.71,74.18,88.88,104.33,64.628,132.48,9758.79,324.54,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,title,10.0,10.01,301,0,64.68,70.83,84.44,117.21,59.617,82.39,17944.61,596.86,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,cdf,1.0,1.03,31,0,64.3,66.64,78.22,83.12,20.428,22.34,633.26,21.06,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,cdf,5.0,5.02,151,0,64.7,103.86,106.6,106.72,20.08,22.34,3032.09,100.85,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,cdf,10.0,9.99,300,0,62.18,101.96,120.79,389.24,19.936,19.87,5980.76,199.25,1.0,0,0,cosmos\writes-20260914T052002.json
cosmos,version,1.0,1.02,31,0,345.08,424.8,454.58,464.69,535.087,775.63,16587.69,546.2,32.0,0,0,cosmos\writes-20260914T052002.json
cosmos,version,5.0,2.62,79,0,376.63,458.43,477.48,502.16,654.264,776.17,51686.88,1716.34,32.0,0,0,cosmos\writes-20260914T052002.json
cosmos,version,10.0,2.61,79,0,379.78,456.09,478.24,495.36,769.405,776.86,60782.99,2007.48,32.0,0,0,cosmos\writes-20260914T052002.json
